TICKER,COMPANY,INDUSTRY
A,Agilent Technologies,Information Technology
AA,Alcoa,Materials
AAPL,Apple,Information Technology
ABC,Amerisource Bergen Corp,Healthcare
ABT,Abbott Laboratories,Healthcare
ACE,ACE Limited,Financials
ACS,Affiliated Computer Services,Information Technology
ADBE,Adobe Systems,Information Technology
ADI,Analog Devices,Information Technology
ADM,Archer-Daniels-Midland,Consumer Staples
ADP,Automatic Data Processing,Information Technology
ADSK,Autodesk,Information Technology
AEE,Ameren Corp,Utilities
AEP,American Electric Power,Utilities
AES,AES Corp,Utilities
AET,Aetna,Healthcare
AFL,AFLAC,Financials
AGN,Allergan,Healthcare
AIG,American Intl Group,Financials
AIV,Apartment Investment & Mgmt,Financials
AIZ,Assurant,Financials
AKAM,Akamai,Information Technology
AKS,AK Steel,Materials
ALL,Allstate,Financials
ALTR,Altera,Information Technology
AMAT,Applied Materials,Information Technology
AMD,Advanced Micro Devices,Information Technology
AMGN,Amgen,Healthcare
AMP,Ameriprise Financial,Financials
AMT,American Tower Corp A,Telecommunications
AMZN,Amazon,Consumer Discretionary
AN,AutoNation,Consumer Discretionary
ANF,Abercrombie & Fitch,Consumer Discretionary
AOC,AOC,Unknown
AON,Aon Corp,Financials
APA,Apache,Energy
APC,Anadarko Petroleum,Energy
APD,Air Products & Chemicals,Materials
APH,Amphenol Corp A,Industrials
APOL,Apollo Group,Consumer Discretionary
ARG,Airgas,Materials
ATI,Allegheny Technologies Inc,Materials
AVB,AvalonBay Communities,Financials
AVP,Avon Products,Consumer Staples
AVY,Avery Dennison Corp,Industrials
AXP,American Express,Financials
AYE,Allegheny Energy Inc,Utilities
AZO,AutoZone Inc,Consumer Discretionary
BA,Boeing,Industrials
BAC,Bank of America,Financials
BAX,Baxter Intl,Healthcare
BBBY,Bed Bath & Beyond,Consumer Discretionary
BBT,BB&T Corp,Financials
BBY,Best Buy,Consumer Discretionary
BCR,Bard,Healthcare
BDK,Black and Decker,Unknown
BDX,Becton Dickinson,Healthcare
BEN,Franklin Resources,Financials
BF.B,Brown-Forman Corp,Consumer Staples
BHI,Baker Hughes,Energy
BIG,Big Lots Inc,Consumer Discretionary
BIIB,Biogen Idec,Healthcare
BJS,BJ Wholesale,Consumer Staples
BK,Bank of New York Mellon Corp,Financials
BLL,Ball Corp,Materials
BMC,BMC Software,Information Technology
BMS,Bemis Company,Materials
BMY,Bristol-Myers Squibb,Healthcare
BNI,Burlington Northern Santa Fe,Unknown
BRCM,Broadcom,Information Technology
BRK.B,Berkshire Hathaway,Financials
BSX,Boston Scientific,Healthcare
BTU,Peabody Energy,Energy
BXP,Boston Properties,Financials
C,Citigroup,Financials
CA,CA Inc,Information Technology
CAG,ConAgra Foods Inc,Consumer Staples
CAH,Cardinal Health,Healthcare
CAM,Cameron Intl Corp,Energy
CAT,Caterpillar,Industrials
CB,Chubb Corp,Financials
CBE,Cooper Industries,Materials
CBG,CB Richard Ellis Group,Financials
CBS,CBS Corp,Consumer Discretionary
CCE,Coca-Cola Enterprises,Consumer Staples
CCL,Carnival Corp,Consumer Discretionary
CEG,Constellation Energy Group,Utilities
CELG,Celgene Corp,Healthcare
CEPH,Cephalon Inc,Healthcare
CERN,Cerner,Healthcare
CF,CF Industries Holdings,Materials
CFN,Carefusion,Healthcare
